protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|Q9UQ80|PA2G4_HUMAN	60	49	50	61	43	58	50	50
sp|Q96HE7|ERO1A_HUMAN	67	51	48	54	54	55	40	40
sp|O43852|CALU_HUMAN	50	45	58	61	40	59	51	44
sp|Q96A33|CCD47_HUMAN	56	45	52	54	40	53	75	82
sp|Q9Y5M8|SRPRB_HUMAN	46	41	56	52	44	61	53	58
sp|P28288|ABCD3_HUMAN	59	50	54	52	44	47	63	65
sp|HBB_HUMAN|	30	91	36	34	85	39	31	27
sp|O95573|ACSL3_HUMAN	46	46	47	46	41	37	77	70
sp|P00734|THRB_HUMAN	65	73	35	60	66	33	41	46
sp|P62701|RS4X_HUMAN	66	42	49	57	42	55	60	48
sp|Q16851|UGPA_HUMAN	60	48	44	61	45	55	41	40
sp|Q7Z4W1|DCXR_HUMAN	52	51	56	53	48	60	30	30
sp|P05089|ARGI1_HUMAN	50	59	43	50	52	47	62	58
sp|P0DJI8|SAA1_HUMAN	55	35	52	44	38	67	60	61
sp|P30086|PEBP1_HUMAN	58	58	45	55	55	43	48	49
sp|P39656|OST48_HUMAN	40	45	54	50	48	58	53	43
sp|P46782|RS5_HUMAN	65	43	53	60	40	48	54	64
sp|Q9Y490|TLN1_HUMAN	73	26	58	75	21	51	36	44
sp|O43795|MYO1B_HUMAN	65	51	28	63	47	31	39	33
sp|P05091|ALDH2_HUMAN	62	55	41	53	47	43	65	55
sp|Q96LJ7|DHRS1_HUMAN	57	49	52	54	37	42	77	59
sp|Q16891|MIC60_HUMAN	68	48	35	60	41	30	52	48
sp|P00751|CFAB_HUMAN	46	62	54	45	59	56	33	33
sp|P11216|PYGB_HUMAN	28	67	51	18	66	54	29	37
sp|P68871|HBB_HUMAN	29	88	33	32	82	37	30	26
sp|P34931|HS71L_HUMAN	53	48	50	54	32	56	54	47
sp|Q12797|ASPH_HUMAN	51	71	47	44	50	53	49	35
sp|Q14764|MVP_HUMAN	62	30	59	50	34	59	43	51
sp|P02774|VTDB_HUMAN	67	54	37	62	50	37	52	43
sp|Q14152|EIF3A_HUMAN	61	51	48	46	45	50	26	26
sp|P22626|ROA2_HUMAN	38	37	70	33	29	71	20	22
sp|O94905|ERLN2_HUMAN	59	50	51	55	38	44	53	34
sp|P49755|TMEDA_HUMAN	47	50	53	43	52	49	33	31
sp|P38646|HSPA9_HUMAN	58	52	51	42	48	42	46	48
sp|O75396|SC22B_HUMAN	47	55	47	43	49	44	48	49
sp|P53675|CLH2_HUMAN	41	47	55	43	40	53	39	37
