protein_group	accession	entry	n_base_sequences	AZ905_oxidation_index	AZ907_oxidation_index	AZ909_oxidation_index	AZ906_oxidation_index	AZ908_oxidation_index	AZ910_oxidation_index	AZ941_oxidation_index	AZ942_oxidation_index	log2_ratio_P905_906	log2_ratio_P907_908	log2_ratio_P909_910	log2_ratio_P941_942	mean_log2_ratio	ci_low	ci_high	t	p	q
psvid_72482_sp|P31513|FMO3_HUMAN	P31513	FMO3_HUMAN	2	0.032065603483670935	0.03307988546402078	0.04218997729053535	0.04748456184005069	0.03172237394810435	0.047161065611845826	0.03424136084921287	0.03199671427840717	0.566431981938195	-0.06045349996398973	0.16069600560931882	-0.09781627637698101	0.14221455280163578	-0.23141918670660186	0.5158482923098734	0.9892489707684686	0.3695271874082902	0.7628948385203411
psvid_102189_sp|Q9HCN8|SDF2L_HUMAN	Q9HCN8	SDF2L_HUMAN	1	0.4284571027959049	0.3014888930977532	0.2840072081088593	0.4769396638979212	0.2999001433755471	0.2640585771963117	0.5230783731682441	0.3531936480387131	0.15465599839249222	-0.007622642045928917	-0.10506954178486481	-0.566567725316639	-0.13115097768873513	-0.5086164286292296	0.2463144732517593	-0.9030295850979305	0.40933339229545235	0.7966987784986821
psvid_24290_sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	4	0.013829391701804451	0.017531662284729254	0.01784991532653689	0.013024990633685866	0.014951215305364071	0.017396371523991573	0.01865938086650442	0.01904494606194917	-0.08645536459153678	-0.22970003511937903	-0.03713080562735214	0.029507084801154968	-0.08094478013427825	-0.3146989594201982	0.15280939915164168	-0.899988825322726	0.410797807663383	0.7966987784986821
psvid_9975_sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	1	0.02485441390815739	0.034974041052749455	0.03611481249700618	0.026916543648939535	0.030103916680818778	0.04411952675438492	0.053696665095599644	0.06260755846662959	0.11499108199997692	-0.21633329937419116	0.2888266358952146	0.22150435047302577	0.10224719224850654	-0.2054714144554199	0.40996579895243296	0.8635853916814646	0.4286520832422605	0.8068745096324904
psvid_68778_sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	1	0.009968070584292919	0.008746136576334333	0.009626443710307332	0.009200064050255034	0.012138564959422086	0.01537846067364039	0.008555941697389536	0.006657256567466931	-0.11567037902257706	0.4728800916743671	0.6758362742659944	-0.36199888150308585	0.16776177635367462	-0.3719156494657736	0.7074392021731228	0.8079163876343356	0.4571090873201118	0.8358566168139188
psvid_67434_sp|P49326|FMO5_HUMAN	P49326	FMO5_HUMAN	1	0.023589013694706052	0.029166272547983922	0.02988089984132834	0.01867260545987378	0.034407126414523266	0.039949370300591834	0.023042762858339526	0.024213071146052225	-0.3371918514318882	0.23840638584116747	0.4189491684619366	0.07147237177269745	0.09790901866097833	-0.2912479660319011	0.4870660033538578	0.653891243579605	0.5430602020444085	0.9581218144827859
psvid_60158_sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	3	0.024332342642271656	0.02383268572975028	0.024800175109386015	0.020043713819502762	0.02799351908704324	0.030575321664679835	0.026303755031585663	0.027681648878452682	-0.2797253806646046	0.2321513211559775	0.3020173693172445	0.07366111246944172	0.08202610556951478	-0.25354113774422016	0.4175933488832497	0.635301946707321	0.5541355612117587	0.9581218144827859
psvid_92466_sp|Q8NBX0|SCPDL_HUMAN	Q8NBX0	SCPDL_HUMAN	1	0.4171183121393013	0.7004697293762958	0.8853044073285549	0.37994761955673106	0.7370635877314358	0.8272931372841579	0.37377570954039147	0.5265690283284912	-0.13465611111779374	0.07346638214981359	-0.09777498921647391	0.4944498515201115	0.08387128333391436	-0.2756496373639764	0.4433922040318051	0.6063128529183759	0.5716990939793637	0.9581218144827859
psvid_48182_sp|O14756|H17B6_HUMAN	O14756	H17B6_HUMAN	1	0.02148597719315608	0.01792439437918599	0.025705521033098953	0.02164902569363866	0.021698173491532097	0.029471542404303462	0.018249020824125255	0.015601014216977058	0.010906705351225133	0.2756492299583433	0.19724431161425082	-0.22617923503475862	0.06440525297226515	-0.24267656053404943	0.37148706647857976	0.5450983248057537	0.6099260689892192	0.9581218144827859
psvid_37478_sp|P05181|CP2E1_HUMAN	P05181	CP2E1_HUMAN	2	0.027669762980916158	0.028801912667126346	0.0333586892953536	0.026516910550923613	0.03118522344554751	0.0242642848334634	0.017786951243151623	0.01936076113643645	-0.06139758707031891	0.11469797519703014	-0.4592282659273348	0.1223164229952908	-0.0709028637013332	-0.4171492042534614	0.275343476850795	-0.5322139305374936	0.6181633559424168	0.9581218144827859
psvid_97758_sp|P10620|MGST1_HUMAN	P10620	MGST1_HUMAN	1	0.025749509324916202	0.1343638783811753	0.23983559402931715	0.02295409381187145	0.14579953512317317	0.19780243710703285	0.013353057072983954	0.014310237858288336	-0.1657934629283898	0.11784077535546787	-0.27798558365646536	0.09987757915322915	-0.056515173019039536	-0.3437344478511895	0.23070410181311046	-0.5113981278687639	0.6316076036350082	0.9581218144827859
psvid_39274_sp|Q9Y2P5|S27A5_HUMAN	Q9Y2P5	S27A5_HUMAN	5	0.07644664433131873	0.12494670048994301	0.19712102818806082	0.06416157538008985	0.1371978712659932	0.19243027738862048	0.03631764231011379	0.048115606579267424	-0.252743609871662	0.13494529293574162	-0.03474587262705435	0.4058343685518986	0.06332254474723097	-0.2875888971467195	0.41423398664118144	0.4689952930907107	0.659499820944552	0.9581218144827859
psvid_60951_sp|Q9BPW8|NIPS1_HUMAN	Q9BPW8	NIPS1_HUMAN	1	0.07015157713946285	0.049434666928281405	0.1017373162736871	0.08629325043579056	0.01954517158352829	0.10062123910620065	0.18176705485945235	0.25519196659471094	0.2987721824144442	-1.3387108621075312	-0.01591408199714448	0.48949217814486895	-0.1415901458863406	-1.0113115626697233	0.728131270897042	-0.42311704235840625	0.6904063699425171	0.9581218144827859
psvid_151851_sp|P56378|ATP68_HUMAN	P56378	ATP68_HUMAN	1	0.08576896212750965	0.279428608375269	0.28451410905368146	0.06628424845482192	0.3319115315302306	0.268894417147855	0.050978227674036244	0.05175412411391281	-0.37178958872148593	0.24831901965092062	-0.08146039561609433	0.021792613741346747	-0.04578458773632822	-0.3796512471589733	0.2880820716863169	-0.35641330658327247	0.7365864005245315	0.9581218144827859
psvid_27087_sp|P10632|CP2C8_HUMAN	P10632	CP2C8_HUMAN	2	0.08755160745894408	0.16870621896809695	0.22126406554796763	0.07591457540491464	0.19090831510898776	0.268844068262181	0.08019462742022307	0.05785945803225623	-0.20575676096677878	0.17836678517650592	0.281000471669629	-0.47095277797870316	-0.05433557052483676	-0.46548502819899984	0.3568138871493264	-0.3434726520840988	0.7457031076145428	0.9581218144827859
psvid_33457_sp|P23141|EST1_HUMAN	P23141	EST1_HUMAN	3	0.028864654358578927	0.028763323778190988	0.02248165927699653	0.026859369734427298	0.02847195907575308	0.01848346373507264	0.02499246505959929	0.029597172892203292	-0.10387849805505325	-0.014688633356159959	-0.28251338077388777	0.24396617239455334	-0.03927858494763691	-0.34326526190922185	0.264708092013948	-0.3358218403262323	0.751115728937547	0.9581218144827859
psvid_50866_sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	1	0.023247260424022337	0.01855567767689936	0.020383232771801006	0.022793450957900363	0.018331759393679654	0.017113512685361165	0.022882967532236682	0.03224346029136484	-0.028441344649297744	-0.017515435630513988	-0.2522469655336623	0.49473242147771734	0.049132168916060814	-0.33414742181051627	0.4324117596426379	0.33316386822501637	0.752999991529887	0.9581218144827859
psvid_16258_sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	2	0.0697363564292762	0.04633052144341166	0.06716141714814197	0.06970695199702598	0.04306892435319092	0.06392373280094675	0.08698220783323588	0.09113430329702203	-0.0006084426667018976	-0.10531562708262446	-0.07128101604013257	0.06727386353693574	-0.027482805563130798	-0.24686823769599375	0.19190262656973217	-0.3255824097930509	0.7583853424014779	0.9581218144827859
psvid_79974_sp|Q9UHG3|PCYOX_HUMAN	Q9UHG3	PCYOX_HUMAN	1	0.23331331716165732	0.34546836890730703	0.5799658753760031	0.20686438806780094	0.4161032609729025	0.5688536559467502	0.14717831293390876	0.15460718611419522	-0.17358335143043	0.268387971264154	-0.02791046536759002	0.07104227443488986	0.03448410722525595	-0.2449410109217247	0.31390922537223664	0.32074596177219666	0.7618290605001127	0.9581218144827859
psvid_160990_sp|P16662|UD2B7_HUMAN	P16662	UD2B7_HUMAN	1	0.08527753676558643	0.3328562116898514	0.39596376719367055	0.10130253020316368	0.32983722328789944	0.47029663510317	0.06474829721462384	0.03920539657331025	0.24843253666623552	-0.013144870606515474	0.2482025879635834	-0.7237899993726385	-0.06007493633733377	-0.5733957123306592	0.45324583965599174	-0.304167025527676	0.7736813114052153	0.9581218144827859
psvid_69811_sp|Q00325|S25A3_HUMAN	Q00325	S25A3_HUMAN	1	0.20640379869049486	0.8172999595775393	0.8609561310235577	0.1761258987424054	0.8563565076367221	0.8665574694485153	0.11118588652666622	0.1141986128374668	-0.22886245421288243	0.06734586328464187	0.00935570230591523	0.03857145650800926	-0.02839735802857902	-0.27595905043600705	0.219164334378849	-0.29812757510355453	0.778016722532674	0.9581218144827859
psvid_98716_sp|P21549|AGT1_HUMAN	P21549	AGT1_HUMAN	1	0.08884492041003632	0.13132478703120673	0.10106117873361227	0.10913912090358613	0.08757339009862841	0.0824739731772094	0.1461152564029757	0.1867154254396897	0.29680712865782477	-0.5845747782166082	-0.2932180960541794	0.3537342974904623	-0.05681286203062512	-0.568454761666539	0.45482903760528876	-0.2885946122302675	0.7848787341553106	0.9581218144827859
psvid_54083_sp|P08684|CP3A4_HUMAN	P08684	CP3A4_HUMAN	4	0.07157220446417613	0.07967673334150525	0.06624515408349824	0.06685009114295612	0.10393175702083009	0.06347541697036652	0.0512059383790157	0.04771363534323255	-0.09846988887764979	0.3834061415886337	-0.06161695648708533	-0.10190951931809417	0.0303524442264511	-0.28661409151382117	0.3473189799667234	0.2488788034608048	0.8137010365776157	0.9581218144827859
psvid_74158_sp|P53007|TXTP_HUMAN	P53007	TXTP_HUMAN	1	0.06774795932384928	0.3142347652500939	0.4106944479815227	0.07612131446908385	0.2418498684902414	0.26607895506052787	0.044060216861074565	0.06872930578125287	0.16812298354832417	-0.37773104821304904	-0.6262110361873343	0.6414487912171812	-0.0485925774087195	-0.6648490222322269	0.5676638674147879	-0.20493498989588668	0.8459875542258817	0.9581218144827859
psvid_26304_sp|Q6DD88|ATLA3_HUMAN	Q6DD88	ATLA3_HUMAN	1	0.21175023674678367	0.1780380644127972	0.060076394892666085	0.43697286430044185	0.07258265956900102	0.05947911938357705	0.14159912146846867	0.21252732441420485	1.045180109626807	-1.2944888953185902	-0.014414953404604962	0.5858360245034739	0.08052807135177142	-0.9787355637921452	1.139791706495688	0.19758359744765397	0.8514248375057514	0.9581218144827859
psvid_30111_sp|P78329|CP4F2_HUMAN	P78329	CP4F2_HUMAN	1	0.027230814108445932	0.02742431618483796	0.032623364155511675	0.020099213487300992	0.03495697207912939	0.032223282070942466	0.02740669809826189	0.027259673712610646	-0.4381010670222078	0.35012457814333847	-0.017802116122520147	-0.007760231984248456	-0.02838470924640948	-0.41702692108391604	0.3602575025910971	-0.1898200723186636	0.8571772156012819	0.9581218144827859
